date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:22	110/110	---M-Z	200	added ('OK')	text/plain	etag:%221929-1695311108;gz%22	https://waseryweb.tech/robots.txt		(from )
22:41:22	254704/254704	---MCZ	200	added ('OK')	text/html	etag:%221888-1695065767;gz%22	https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/secure-devices/indexf29b.html	(from )
22:41:23	416951/416951	---M-Z	200	added ('OK')	text/css	etag:%2265cb7-64f8347a-70a79f0a5891f1d3;gz%22	https://waseryweb.tech/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/css/theme.css?ver=1.0.236	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/css/theme1bfc.css	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:23	28083/28083	---M--	200	added ('OK')	image/png	etag:%226db3-64d7c3cf-831b990d76d4296;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:23	396896/396896	---M--	200	added ('OK')	image/png	etag:%2260e60-64d7c3cf-e5309fefba3fd61;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/10degree-stripes.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/10degree-stripes.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:23	11005/11005	---M--	200	added ('OK')	image/png	etag:%222afd-64d7c3cf-23b28f920350d77a;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/rounded-squares-blue.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/rounded-squares-blue.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:24	42767/42767	---M--	200	added ('OK')	image/png	etag:%22a70f-64d7c3cf-c6ad1fac6e80f494;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/many-rounded-squares-blue.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/many-rounded-squares-blue.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:24	7268/7268	---M--	200	added ('OK')	image/png	etag:%221c64-64d7c3cf-42771b2e5e060f84;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/two-circles.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/two-circles.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:24	27792/27792	---M--	200	added ('OK')	image/png	etag:%226c90-64d7c3cf-ade978b18220d071;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles-2.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles-2.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:25	61860/61860	---M--	200	added ('OK')	image/png	etag:%22f1a4-64d7c3cf-c665c6542783b437;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles-3.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles-3.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:25	174634/174634	---M--	200	added ('OK')	image/png	etag:%222aa2a-64d7c3cf-edd72340de2b3e19;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles-gradient.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles-gradient.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:25	35762/35762	---M--	200	added ('OK')	image/png	etag:%228bb2-64d7c3cf-e4e70d828aeff8bf;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/waves.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/waves.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:25	263201/263201	---M--	200	added ('OK')	image/png	etag:%2240421-64d7c3cf-95fe9be1309ec2c9;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles-white-gradient.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/circles-white-gradient.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:25	354573/354573	---M--	200	added ('OK')	image/png	etag:%225690d-64d7c3cf-158a1144e9a86b8a;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/waves-inverted.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/waves-inverted.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:26	91/91	---M--	200	added ('OK')	image/png	etag:%225b-64d7c3cf-9a443970a1794429;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/dots.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/dots.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:26	119/119	---M--	200	added ('OK')	image/png	etag:%2277-64d7c3cf-fc97cfbddd0dddf7;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/left-tilted-lines.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/left-tilted-lines.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:26	102/102	---M--	200	added ('OK')	image/png	etag:%2266-64d7c3cf-ed071ec3e4304b84;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/right-tilted-lines.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/right-tilted-lines.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
22:41:26	226532/226532	---M--	200	added ('OK')	image/png	etag:%22374e4-64d7c3cf-5a18b142c105cbe9;;;%22	https://waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/right-tilted-strips.png	C:/My%20Web%20Sites/Mcafee%20ecom/waseryweb.tech/wp-content/themes/brite/resources/images/header-shapes/right-tilted-strips.png	(from https://waseryweb.tech/secure-devices/?gclid=Cj0KCQjw9rSoBhCiARIsAFOiplkbrHvFNezGc897734Jlq_P2TQRZ3yoL8I6QXU0muiiIWzGbfHhrKUaAjLwEALw_wcB)
